시도교육청코드,행정표준코드,학교명,도로명주소,홈페이지주소
B10,7010156,동일여자고등학교,서울특별시 금천구 탑골로10길 45,http://dongilg.sen.hs.kr
B10,7041176,동일중학교,서울특별시 금천구 탑골로10길 45,http://dongil.sen.ms.kr
B10,7010075,동작고등학교,서울특별시 동작구 솔밭로 51,http://dongjak.sen.hs.kr
B10,7132136,동작중학교,서울특별시 동작구 동작대로39가길 83,http://dongjak.sen.ms.kr
B10,7010076,둔촌고등학교,서울특별시 강동구 명일로 140,https://doonchon.sen.hs.kr/
B10,7130174,둔촌중학교,서울특별시 강동구 진황도로61길 25-30,http://doonchon.sen.ms.kr
B10,7081489,등명중학교,서울특별시 강서구 공항대로39길 39,http://deungmyoung.sen.ms.kr
B10,7081490,등원중학교,서울특별시 강서구 화곡로65길 50,http://deungwon.sen.ms.kr
B10,7010700,등촌고등학교,서울특별시 강서구 공항대로39길 115,http://dch.sen.hs.kr
B10,7081517,등촌중학교,서울특별시 강서구 공항대로 484-12,http://deungchon.sen.ms.kr
B10,7010908,리라아트고등학교,서울특별시 중구 소파로2길 ,http://lila.sen.hs.kr
B10,7061055,리라초등학교,서울특별시 중구 소파로2길 7,http://lila.sen.es.kr
B10,7081515,마곡중학교,서울특별시 강서구 마곡중앙5로 58,http://magok.sen.ms.kr
B10,7081540,마곡하늬중학교,서울특별시 강서구 마곡서1로 16,http://magokhanui.sen.ms.kr
B10,7134131,마장중학교,서울특별시 성동구 마장로35나길 31,http://mj.sen.ms.kr
B10,7010157,마포고등학교,서울특별시 강서구 화곡로 403,http://mapo.sen.hs.kr
B10,7081518,마포중학교,서울특별시 강서구 화곡로 403,http://mapo.sen.ms.kr
B10,7121337,매원초등학교,서울특별시 성북구 북악산로 870,http://maewon.sen.es.kr
B10,7010077,면목고등학교,서울특별시 중랑구 용마산로72길 36-14,http://mmhs.sen.hs.kr
B10,7021128,면목중학교,서울특별시 중랑구 용마산로70길 37,http://myonmok.sen.ms.kr
B10,7010158,명덕고등학교,서울특별시 강서구 강서로47길 34-10,http://myungduk.sen.hs.kr
B10,7010159,명덕여자고등학교,서울특별시 강서구 강서로47길 34-10,http://mdgh.sen.hs.kr
B10,7081519,명덕여자중학교,서울특별시 강서구 강서로47길 34-10,http://myungduk.sen.ms.kr
B10,7010160,명덕외국어고등학교,서울특별시 강서구 강서로47길 34-10,http://mdfh.or.kr
B10,7010078,명일여자고등학교,서울특별시 강동구 명일로 350,http://myungil.sen.hs.kr
B10,7130175,명일중학교,서울특별시 강동구 양재대로156길 57,http://myungil.sen.ms.kr
B10,7010163,명지고등학교,서울특별시 서대문구 명지2길 56,http://myongjigo.net/
B10,7031186,명지중학교,서울특별시 서대문구 명지2길 56,http://myongji.sen.ms.kr
B10,7031111,명지초등학교,서울특별시 서대문구 명지2길 32-20,http://myongji.net
B10,7010744,목동고등학교,서울특별시 양천구 목동동로2길 68,https://mokdong.sen.hs.kr/
B10,7081491,목동중학교,서울특별시 양천구 목동동로 172,http://mokdong.sen.ms.kr
B10,7081492,목운중학교,서울특별시 양천구 목동동로 235,http://mogun.sen.ms.kr
B10,7081493,목일중학교,서울특별시 양천구 목동동로8길 70,http://mokil.sen.ms.kr
B10,7010079,무학여자고등학교,서울특별시 성동구 고산자로 197,http://muhak.sen.hs.kr
B10,7134132,무학중학교,서울특별시 성동구 행당로 120,http://muhakg.sen.ms.kr
B10,7041177,문래중학교,서울특별시 영등포구 선유서로13길 6,http://mullae.sen.ms.kr
B10,7041178,문성중학교,서울특별시 금천구 독산로102길 78,http://munseong.sen.ms.kr
B10,7010166,문일고등학교,서울특별시 금천구 시흥대로47길 45,http://moonil.sen.hs.kr
B10,7041179,문일중학교,서울특별시 금천구 시흥대로47길 45,http://moonil.sen.ms.kr
B10,7010701,문정고등학교,서울특별시 송파구 송이로34길 62,http://mj.sen.hs.kr
B10,7130176,문정중학교,서울특별시 송파구 문정로 73,http://munjeong.sen.ms.kr
B10,7132137,문창중학교,서울특별시 동작구 여의대방로22나길 40,http://munchang.sen.ms.kr
B10,7010959,문현고등학교,서울특별시 송파구 충민로 115,http://munhyeon.sen.hs.kr
B10,7130177,문현중학교,서울특별시 송파구 충민로 99,http://munhyeon.sen.ms.kr/
B10,7010591,미래산업과학고등학교,서울특별시 노원구 덕릉로82길 54,http://mist.sen.hs.kr
B10,7011569,미림마이스터고등학교,서울특별시 관악구 호암로 546,http://e-mirim.sen.hs.kr
B10,7010167,미림여자고등학교,서울특별시 관악구 호암로 546,http://mirim.sen.hs.kr
B10,7132138,미성중학교,서울특별시 관악구 문성로16길 40,http://misung.sen.ms.kr
B10,7010460,밀알학교,서울특별시 강남구 일원로 90,http://miral.sen.sc.kr
B10,7010080,반포고등학교,서울특별시 서초구 고무래로 71,http://banpo.sen.hs.kr
B10,7091429,반포중학교,서울특별시 서초구 신반포로 67,http://banpo.sen.ms.kr
B10,7091430,방배중학교,서울특별시 서초구 동광로 144,http://bangbae.sen.ms.kr
B10,7010590,방산고등학교,서울특별시 송파구 오금로27길 18,http://bangsan.sen.hs.kr
B10,7130178,방산중학교,서울특별시 송파구 오금로29길 31,http://bangsan.sen.ms.kr
B10,7081494,방원중학교,서울특별시 강서구 금낭화로 268,http://bangwon.sen.ms.kr
